comparison,signal,mae,rmse,bias,correlation,mean_deg,rmse_deg,median_deg,p95_deg,max_deg
angular_velocity_imu_vs_mocap,omega_x,0.009554433230480004,0.011317273640101278,0.00816348213008562,-0.0011110809632553266,,,,,
angular_velocity_imu_vs_mocap,omega_y,0.03996945740441792,0.04009954493298418,0.03996945740441792,0.0016178466233975155,,,,,
angular_velocity_imu_vs_mocap,omega_z,0.015300713059648119,0.015371608155884559,-0.015300713059648119,0.011492406477977078,,,,,
quaternion_components_kalman_vs_mocap,qw,0.13083152407247806,0.13083175590759397,-0.13083152407247806,0.0067606189822114774,,,,,
quaternion_components_kalman_vs_mocap,qx,0.10210137701477678,0.10210199653889543,-0.10210137701477678,0.017899655366813504,,,,,
quaternion_components_kalman_vs_mocap,qy,0.7031359058055107,0.7031359504785738,0.7031359058055107,-0.0411016509328996,,,,,
quaternion_components_kalman_vs_mocap,qz,0.8247999898116379,0.8247999898702512,-0.8247999898116379,0.04144307451618111,,,,,
quaternion_components_madgwick_vs_mocap,qw,0.556173403660702,0.5561734356430585,0.556173403660702,0.015214691436120621,,,,,
quaternion_components_madgwick_vs_mocap,qx,0.4213466043944449,0.4215323296914041,-0.4213466043944449,-0.04143414323926852,,,,,
quaternion_components_madgwick_vs_mocap,qy,0.9013326907321088,0.9013507369161926,0.9013326907321088,0.027804555186161012,,,,,
quaternion_components_madgwick_vs_mocap,qz,0.8261495603224761,0.826149590172976,-0.8261495603224761,-0.052966610067731346,,,,,
orientation_error_kalman_vs_mocap,angle_deg,,,,,132.9834480047797,132.98344927842678,132.98412500498085,133.01348845088475,133.04299144296982
orientation_error_madgwick_vs_mocap,angle_deg,,,,,178.96721188022636,178.96721555213895,178.96728870131398,179.02597519407536,179.08583923895554
