comparison,signal,mae,rmse,bias,correlation,mean_deg,rmse_deg,median_deg,p95_deg,max_deg
angular_velocity_imu_vs_mocap,omega_x,0.13758807554595262,0.21643201300842918,0.006471473184659308,-0.3547260929177605,,,,,
angular_velocity_imu_vs_mocap,omega_y,0.3756807227409522,0.6842296414441467,0.04159853352882165,-0.9652583309139373,,,,,
angular_velocity_imu_vs_mocap,omega_z,0.0243322072690794,0.033668752557103256,-0.013889088355582993,0.9876921805161877,,,,,
quaternion_components_kalman_vs_mocap,qw,0.3631788960316866,0.3885246269157803,-0.32216941165239643,0.2795081914781933,,,,,
quaternion_components_kalman_vs_mocap,qx,0.09033711544272348,0.1398825494959549,-0.032403762595888036,0.004446417974700141,,,,,
quaternion_components_kalman_vs_mocap,qy,0.32720249981030936,0.4638618057733392,0.16938651069206453,0.12340818572560837,,,,,
quaternion_components_kalman_vs_mocap,qz,0.8750475485936545,0.8754675539435149,-0.8750475485936545,0.7930343700721033,,,,,
quaternion_components_madgwick_vs_mocap,qw,0.4283103014917967,0.43511177436110965,-0.4283103014917967,-0.6043890159973082,,,,,
quaternion_components_madgwick_vs_mocap,qx,0.15905886267320563,0.18870617195359965,-0.15765346022610507,-0.1159349029434539,,,,,
quaternion_components_madgwick_vs_mocap,qy,0.22375750974957936,0.24455706855818843,0.22310620861895517,-0.36013585659668584,,,,,
quaternion_components_madgwick_vs_mocap,qz,0.8327564188616251,0.8328075763505949,-0.8327564188616251,0.9513083397094665,,,,,
orientation_error_kalman_vs_mocap,angle_deg,,,,,129.45596406742175,130.2701585297938,121.59455619348749,159.6105689168651,179.7339352571874
orientation_error_madgwick_vs_mocap,angle_deg,,,,,118.54599236042546,118.56857933609707,118.07638231938306,123.87560866424663,127.46369564494216
