timestamp,gx,gy,gz,ax,ay,az,madgwick_qw,madgwick_qx,madgwick_qy,madgwick_qz,kalman_qw,kalman_qx,kalman_qy,kalman_qz,madgwick_roll_deg,madgwick_pitch_deg,madgwick_yaw_deg,kalman_roll_deg,kalman_pitch_deg,kalman_yaw_deg,robot_accel_x,robot_accel_y,robot_accel_z,kalman_converged,kalman_P_change,convergence_counter
1786125679.506123,0.000747,0.000425,-0.001583,0.017578,0.004639,-0.998291,1.000000,0.000088,-0.000317,-0.000008,0.999997,0.002321,0.000085,-0.000008,0.010076,-0.036320,-0.000910,0.266007,0.009707,-0.000876,0.017538,0.004712,8.811710,0,0.087903733,0
1786125679.521810,0.000880,0.001224,-0.001849,0.018066,0.005127,-0.997803,1.000000,0.000182,-0.000628,-0.000017,0.999984,0.005636,0.000150,-0.000022,0.020896,-0.072001,-0.001979,0.645876,0.017220,-0.002446,0.016217,0.050807,8.812092,0,0.030633142,0
1786125679.542282,0.000747,0.000558,-0.001849,0.017090,0.005371,-0.998047,1.000000,0.000285,-0.000941,-0.000026,0.999950,0.010027,0.000181,-0.000041,0.032608,-0.107773,-0.003057,1.149037,0.020788,-0.004479,0.014027,0.116103,8.811328,0,0.016647738,0
1786125679.562077,0.000348,0.000558,-0.001317,0.018066,0.005127,-0.997803,0.999999,0.000377,-0.001255,-0.000033,0.999879,0.015564,0.000181,-0.000054,0.043191,-0.143815,-0.003834,1.783541,0.020784,-0.005827,0.014395,0.201915,8.810223,0,0.010980118,0
1786125679.581889,0.000614,0.000957,-0.001583,0.018066,0.004883,-0.997314,0.999999,0.000467,-0.001569,-0.000041,0.999747,0.022507,0.000130,-0.000069,0.053535,-0.179738,-0.004769,2.579307,0.015032,-0.007565,0.014314,0.310325,8.807929,0,0.008160033,0
1786125679.602122,0.000348,0.000691,-0.001716,0.018066,0.005371,-0.997803,0.999998,0.000563,-0.001881,-0.000049,0.999509,0.031321,-0.000011,-0.000086,0.064516,-0.215588,-0.005789,3.589723,-0.000917,-0.009872,0.015342,0.446911,8.802255,0,0.006589882,0
1786125679.621855,0.001013,0.000025,-0.001583,0.017334,0.005859,-0.998047,0.999997,0.000672,-0.002195,-0.000057,0.999098,0.042451,-0.000304,-0.000101,0.076986,-0.251470,-0.006744,4.866032,-0.034316,-0.013058,0.017468,0.620274,8.792694,0,0.005599492,0
1786125679.642061,0.000348,0.001090,-0.001583,0.017822,0.005371,-0.998047,0.999997,0.000769,-0.002505,-0.000065,0.998413,0.056311,-0.000824,-0.000116,0.088132,-0.287042,-0.007702,6.456143,-0.093525,-0.018615,0.023458,0.837585,8.776588,0,0.004981000,0
1786125679.661824,0.000348,0.000691,-0.001849,0.017822,0.005371,-0.998291,0.999996,0.000866,-0.002817,-0.000075,0.997285,0.073614,-0.001731,-0.000134,0.099288,-0.322838,-0.008819,8.443240,-0.196655,-0.029861,0.033664,1.108499,8.749476,0,0.004541782,0
1786125679.681758,0.000348,0.001090,-0.001849,0.017334,0.004883,-0.998047,0.999995,0.000959,-0.003129,-0.000084,0.995460,0.095122,-0.003249,-0.000150,0.109959,-0.358550,-0.009940,10.916947,-0.369008,-0.052574,0.050743,1.445341,8.705564,0,0.004245033,0
1786125679.701830,0.001147,0.001090,-0.001583,0.017822,0.006104,-0.998779,0.999994,0.001069,-0.003437,-0.000092,0.992511,0.122018,-0.005739,-0.000164,0.122574,-0.393799,-0.010925,14.018012,-0.650477,-0.098916,0.080734,1.864163,8.633446,0,0.004040771,0
1786125679.721776,0.001147,0.000824,-0.001849,0.018311,0.005615,-0.998291,0.999992,0.001172,-0.003748,-0.000101,0.987849,0.155107,-0.009766,-0.000180,0.134366,-0.429465,-0.012063,17.848777,-1.102377,-0.193960,0.129439,2.381929,8.518899,0,0.003887903,0
