timestamp,mocap_gx,mocap_gy,mocap_gz,kalman_offset_gx,kalman_offset_gy,kalman_offset_gz,madgwick_offset_gx,madgwick_offset_gy,madgwick_offset_gz
0.000000,-0.198954,-0.063727,-9.807775,-0.086509,0.153099,-9.808424,-0.092647,0.157935,-9.808291
0.002273,-0.198954,-0.063727,-9.807775,-0.087328,0.152934,-9.808419,-0.090072,0.156741,-9.808334
0.004546,-0.198954,-0.063727,-9.807775,-0.088100,0.152779,-9.808415,-0.087566,0.156928,-9.808354
0.006819,-0.198954,-0.063727,-9.807775,-0.088896,0.152557,-9.808411,-0.085945,0.152334,-9.808441
0.009092,-0.198954,-0.063727,-9.807775,-0.089679,0.152317,-9.808407,-0.083344,0.151129,-9.808482
0.011365,-0.198954,-0.063727,-9.807775,-0.090448,0.152076,-9.808404,-0.083121,0.155095,-9.808422
0.013638,-0.198954,-0.063727,-9.807775,-0.091140,0.151843,-9.808401,-0.081152,0.151235,-9.808498
0.015911,-0.198954,-0.063727,-9.807775,-0.091823,0.151648,-9.808398,-0.080457,0.154879,-9.808447
0.018184,-0.198954,-0.063727,-9.807775,-0.092550,0.151540,-9.808393,-0.085222,0.160277,-9.808320
0.020457,-0.197964,-0.064877,-9.807788,-0.093268,0.151433,-9.808388,-0.082656,0.160144,-9.808345
0.022730,-0.197964,-0.064877,-9.807788,-0.093977,0.151327,-9.808383,-0.080702,0.162006,-9.808330
0.025003,-0.197964,-0.064877,-9.807788,-0.094609,0.151209,-9.808378,-0.078281,0.159330,-9.808394
0.027276,-0.197964,-0.064877,-9.807788,-0.095233,0.151092,-9.808374,-0.076639,0.161692,-9.808368
0.029549,-0.197964,-0.064877,-9.807788,-0.095850,0.150976,-9.808370,-0.076567,0.155476,-9.808469
0.031822,-0.198902,-0.063404,-9.807778,-0.096459,0.150861,-9.808366,-0.079667,0.160839,-9.808358
0.034095,-0.198902,-0.063404,-9.807778,-0.097062,0.150747,-9.808361,-0.077044,0.159680,-9.808398
0.036368,-0.198902,-0.063404,-9.807778,-0.097691,0.150634,-9.808357,-0.087390,0.158931,-9.808323
0.038641,-0.198902,-0.063404,-9.807778,-0.098416,0.150461,-9.808352,-0.090117,0.151517,-9.808416
0.040914,-0.198019,-0.064578,-9.807789,-0.099132,0.150290,-9.808348,-0.089755,0.155396,-9.808358
0.043187,-0.198454,-0.064066,-9.807783,-0.099840,0.150121,-9.808343,-0.087130,0.154417,-9.808398
0.045460,-0.198454,-0.064066,-9.807783,-0.100539,0.149954,-9.808339,-0.088817,0.159480,-9.808301
0.047733,-0.198454,-0.064066,-9.807783,-0.101230,0.149789,-9.808334,-0.089753,0.152661,-9.808401
0.050006,-0.198454,-0.064066,-9.807783,-0.101912,0.149626,-9.808329,-0.088854,0.156023,-9.808357
0.052279,-0.198454,-0.064066,-9.807783,-0.102586,0.149465,-9.808325,-0.086482,0.153191,-9.808423
0.054552,-0.198454,-0.064066,-9.807783,-0.103145,0.149356,-9.808321,-0.085229,0.156115,-9.808387
0.056825,-0.198809,-0.064656,-9.807772,-0.103697,0.149247,-9.808316,-0.083311,0.157990,-9.808374
0.059098,-0.198809,-0.064656,-9.807772,-0.104243,0.149140,-9.808312,-0.081029,0.158997,-9.808377
0.061371,-0.198809,-0.064656,-9.807772,-0.104770,0.148980,-9.808309,-0.081567,0.152406,-9.808477
0.063644,-0.198519,-0.063642,-9.807785,-0.105291,0.148822,-9.808306,-0.079692,0.154561,-9.808459
0.065917,-0.198519,-0.063642,-9.807785,-0.105806,0.148665,-9.808303,-0.077162,0.152139,-9.808517
0.068190,-0.198519,-0.063642,-9.807785,-0.106315,0.148510,-9.808300,-0.083967,0.156872,-9.808386
0.070463,-0.198519,-0.063642,-9.807785,-0.106819,0.148358,-9.808296,-0.081875,0.153165,-9.808463
0.072736,-0.198519,-0.063642,-9.807785,-0.107378,0.148167,-9.808293,-0.089187,0.146653,-9.808498
0.075009,-0.198810,-0.062537,-9.807786,-0.107931,0.147978,-9.808290,-0.088023,0.149725,-9.808462
0.077282,-0.198810,-0.062537,-9.807786,-0.108478,0.147792,-9.808287,-0.085934,0.151305,-9.808457
0.079555,-0.198722,-0.064362,-9.807776,-0.109018,0.147608,-9.808284,-0.083488,0.151860,-9.808469
0.081828,-0.198722,-0.064362,-9.807776,-0.109552,0.147426,-9.808280,-0.081167,0.152840,-9.808473
0.084101,-0.198722,-0.064362,-9.807776,-0.110034,0.147350,-9.808276,-0.082425,0.157773,-9.808385
0.086374,-0.198722,-0.064362,-9.807776,-0.110511,0.147275,-9.808272,-0.080352,0.159382,-9.808376
0.088647,-0.198722,-0.064362,-9.807776,-0.110982,0.147200,-9.808268,-0.077776,0.159135,-9.808401
0.090920,-0.198173,-0.065190,-9.807781,-0.111448,0.147127,-9.808264,-0.085780,0.163106,-9.808269
0.093193,-0.198173,-0.065190,-9.807781,-0.111910,0.147053,-9.808259,-0.083748,0.159414,-9.808347
0.095466,-0.198173,-0.065190,-9.807781,-0.112426,0.146954,-9.808255,-0.083955,0.153092,-9.808446
0.097739,-0.198294,-0.063938,-9.807787,-0.112937,0.146856,-9.808251,-0.085779,0.158222,-9.808349
0.100012,-0.198294,-0.063938,-9.807787,-0.113443,0.146759,-9.808246,-0.083331,0.155927,-9.808407
0.102285,-0.198294,-0.063938,-9.807787,-0.113864,0.146588,-9.808244,-0.081653,0.151483,-9.808490
0.104557,-0.198294,-0.063938,-9.807787,-0.114281,0.146420,-9.808241,-0.079074,0.151356,-9.808514
