timestamp,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,gravity_x,gravity_y,gravity_z
1785345167.813456,-0.004057,-0.001131,0.002328,-0.028226,0.005062,-0.008259,0.857799,0.624666,-9.752439
1785345167.825134,-0.003248,-0.000662,0.002849,-0.027599,0.005657,-0.006650,0.858505,0.627359,-9.752204
1785345167.832747,0.002998,0.000816,-0.002460,0.031927,-0.006195,0.009888,0.857734,0.624221,-9.752474
1785345167.846544,0.000523,0.000270,0.001155,-0.002396,0.001741,-0.001206,0.857914,0.624452,-9.752443
1785345167.854686,-0.003477,-0.001040,0.003650,-0.023776,0.003636,-0.006130,0.858399,0.626784,-9.752251
1785345167.856715,0.002910,0.001430,-0.003376,0.024487,-0.002317,0.008852,0.858052,0.624349,-9.752437
1785345167.866170,-0.000569,-0.000135,-0.001018,-0.003084,-0.003232,-0.001831,0.857749,0.624687,-9.752442
1785345167.877716,-0.000702,0.000410,-0.000881,-0.004092,-0.003066,0.001661,0.857489,0.625090,-9.752439
1785345167.891768,0.000393,0.000287,0.000539,0.009430,0.006467,0.003137,0.858070,0.624103,-9.752452
1785345167.891932,-0.000045,-0.000047,0.001240,-0.007881,-0.000393,-0.001049,0.858081,0.624879,-9.752401
1785345167.904916,-0.000303,-0.000661,-0.001052,0.012647,0.001617,0.001641,0.858159,0.623628,-9.752474
1785345167.905066,0.000032,0.000535,0.000889,-0.013809,-0.006484,-0.001353,0.857617,0.625023,-9.752433
1785345167.915623,0.000037,0.000302,-0.000355,0.003264,0.001464,0.000956,0.857742,0.624688,-9.752443
1785345167.924978,-0.000519,-0.000547,-0.000416,0.006281,0.005348,0.003270,0.858237,0.624013,-9.752443
1785345167.935982,-0.000504,0.000080,-0.000507,-0.003362,-0.001956,0.000170,0.858071,0.624351,-9.752436
1785345167.948105,0.000286,0.000660,0.000067,-0.001245,-0.003646,-0.001188,0.857718,0.624507,-9.752457
1785345167.949961,0.000122,0.000178,0.000886,0.004198,0.004005,0.001994,0.858090,0.624055,-9.752453
1785345167.961682,0.000186,-0.000412,-0.000094,-0.006906,-0.003780,-0.000382,0.857768,0.624754,-9.752436
1785345167.968964,-0.000846,0.001043,-0.000295,0.003924,0.003247,0.000214,0.858058,0.624349,-9.752437
1785345167.978316,0.000645,-0.000433,-0.001020,-0.002456,-0.001362,-0.000063,0.857942,0.624597,-9.752431
1785345167.987302,-0.000601,0.000084,-0.000239,0.000666,0.002354,0.001077,0.858172,0.624506,-9.752417
1785345167.993190,-0.003338,-0.000911,0.002304,-0.014258,0.005954,-0.006906,0.858813,0.625908,-9.752271
1785345168.004242,-0.000237,-0.000115,0.000901,-0.003656,-0.004455,0.001885,0.858415,0.626276,-9.752282
1785345168.007210,-0.000671,0.000378,0.000889,0.003548,0.005320,0.000869,0.858913,0.625887,-9.752263
1785345168.016237,0.000017,0.000064,0.000090,-0.005144,0.000615,0.000590,0.859012,0.626376,-9.752223
1785345168.031103,0.000047,-0.000553,-0.001740,0.011411,0.002374,0.003217,0.859182,0.625225,-9.752282
1785345168.039620,0.000226,0.000878,-0.000086,-0.011128,-0.006986,-0.001866,0.858569,0.626369,-9.752262
1785345168.039731,0.000002,0.000255,-0.000007,-0.000683,0.001086,0.000862,0.858684,0.626420,-9.752249
1785345168.057405,-0.000446,-0.000525,-0.000055,0.005386,0.006166,-0.000752,0.859243,0.625862,-9.752236
1785345168.057580,-0.003925,0.002576,-0.005982,0.081045,0.038216,-0.000021,0.862394,0.617744,-9.752475
1785345168.069706,0.003295,-0.002318,0.007438,-0.085224,-0.041842,-0.000186,0.858917,0.626293,-9.752237
1785345168.072828,-0.000149,0.000374,0.000173,-0.002987,-0.005359,0.004092,0.858440,0.626583,-9.752260
1785345168.084934,-0.000044,0.000074,0.000097,-0.002701,0.002681,-0.000182,0.858718,0.626828,-9.752220
1785345168.100224,-0.000127,-0.000019,-0.001529,0.008038,0.003899,0.000648,0.859045,0.626016,-9.752243
1785345168.105962,0.000686,-0.000139,0.000010,-0.007350,-0.004129,0.000947,0.858700,0.626748,-9.752226
1785345168.106072,-0.000721,0.000255,0.000085,0.004900,0.005087,-0.000028,0.859161,0.626239,-9.752219
1785345168.122213,-0.000110,0.000317,0.000766,0.002406,-0.003309,0.001257,0.858829,0.626017,-9.752262
1785345168.129647,-0.000332,-0.000116,0.001084,0.000406,0.003501,0.002253,0.859180,0.625933,-9.752237
1785345168.131521,-0.000495,-0.000134,-0.000322,0.000297,-0.001921,-0.001443,0.858982,0.625931,-9.752254
1785345168.142689,-0.000510,0.000588,-0.000031,-0.003351,-0.000315,0.002331,0.858988,0.626237,-9.752234
1785345168.155295,0.000205,0.000526,-0.001039,-0.002996,-0.001483,-0.002363,0.858852,0.626559,-9.752225
1785345168.155443,0.000267,-0.000430,-0.000184,-0.001374,-0.001839,0.001261,0.858689,0.626693,-9.752231
