timestamp,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,lin_vel_fil_x,lin_vel_fil_y,lin_vel_fil_z,ang_vel_fil_x,ang_vel_fil_y,ang_vel_fil_z,gravity_x,gravity_y,gravity_z
1786120246.344325,-0.000058,-0.000464,-0.000238,-0.002915,0.001834,0.002073,-0.000128,-0.001318,0.001172,0.006182,0.023144,-0.011827,-0.207360,-0.066164,-9.807585
1786120246.352017,-0.021424,0.021896,-0.009157,0.088793,-0.154546,0.126884,-0.000509,-0.000905,0.000987,-0.113643,-0.004217,0.079014,-0.185412,-0.070391,-9.807995
1786120246.360581,0.008740,0.002499,-0.007983,0.133299,-0.106945,-0.033780,-0.000254,-0.000460,0.000343,-0.083890,0.005078,-0.010224,-0.192651,-0.057958,-9.807937
1786120246.369131,0.000545,0.000885,-0.000260,0.002617,0.000921,-0.004478,-0.000254,-0.000460,0.000343,-0.083890,0.005078,-0.010224,-0.192891,-0.057950,-9.807932
1786120246.377702,-0.001655,0.000069,0.003122,-0.031984,0.021433,0.006930,-0.000182,-0.000348,0.000287,-0.032376,0.000672,-0.007891,-0.191026,-0.060604,-9.807953
1786120246.385399,0.000506,0.000379,0.000119,0.007657,0.000630,-0.000021,-0.000302,-0.000312,0.000519,0.009314,0.015976,0.000524,-0.191582,-0.060439,-9.807943
1786120246.394948,0.000751,-0.000763,-0.001738,0.020647,-0.019667,-0.001621,-0.000249,-0.000266,0.000494,0.002042,0.001456,-0.000274,-0.192720,-0.058021,-9.807935
1786120246.404424,0.000335,0.005670,0.004454,-0.007561,0.049713,0.020343,-0.000148,-0.000315,0.000269,-0.017028,-0.007450,-0.001572,-0.193698,-0.062585,-9.807888
1786120246.427393,0.006059,0.001257,-0.011028,0.049222,0.038960,-0.015385,-0.000100,0.000269,0.000676,0.027852,-0.009630,0.013127,-0.207287,-0.066742,-9.807583
1786120246.427491,-0.232307,-0.006809,0.183467,-2.822558,1.538683,0.676565,0.002261,0.000656,-0.003802,0.022891,-0.050484,-0.007641,-0.205283,-0.069100,-9.807608
1786120246.427508,0.371948,2.000000,2.000000,2.728417,22.988969,10.779606,0.002257,0.000655,-0.003798,1.593839,1.324810,0.391068,-0.207028,-0.072459,-9.807548
1786120246.439603,-0.005546,-0.002679,0.005101,-0.075813,0.052263,0.019875,0.002256,0.000654,-0.003798,13.505554,-6.076524,7.059463,-0.200837,-0.081493,-9.807605
1786120246.442852,0.000674,-0.016940,-0.010592,0.015221,-0.124342,-0.069303,0.001248,0.000224,-0.002639,4.614062,-1.972817,2.386006,-0.199903,-0.077625,-9.807656
1786120246.453419,-0.005994,-0.015303,0.023371,-0.148610,-0.051739,-0.037001,0.001239,0.000043,-0.002720,1.438411,-0.614736,0.735661,-0.183686,-0.078215,-9.807968
1786120246.461497,-0.008858,0.010018,-0.006101,0.057952,-0.091332,0.069047,0.000469,-0.001605,0.000073,-0.045830,0.170798,-0.067402,-0.185236,-0.069808,-9.808003
1786120246.469822,0.008343,0.011106,-0.002147,0.102900,-0.025873,-0.005173,-0.000144,-0.000862,-0.000311,-0.471086,0.240521,-0.182108,-0.192311,-0.064796,-9.807901
1786120246.478114,-0.000101,-0.000980,0.000452,0.013456,-0.011121,-0.001247,0.000447,-0.000013,-0.000444,-0.550811,0.195401,-0.247604,-0.193006,-0.063557,-9.807895
1786120246.487613,0.015291,0.009451,-0.021755,0.131906,0.121964,-0.015676,0.000414,-0.000073,-0.000381,-0.492305,0.203652,-0.241027,-0.208605,-0.069696,-9.807534
1786120246.494452,-0.022439,-0.012299,0.029014,-0.191554,-0.169417,0.018946,0.001790,0.000808,-0.002360,-0.390833,0.086052,-0.232960,-0.192493,-0.063758,-9.807904
1786120246.503374,-0.007202,-0.010120,0.001974,-0.104108,0.037892,0.007679,0.000588,0.000157,-0.000797,-0.360042,0.269981,-0.162123,-0.185187,-0.070148,-9.808001
1786120246.511487,0.023472,0.014019,-0.031786,0.258473,0.061474,-0.046419,-0.000087,-0.000723,-0.000542,-0.253821,0.241583,-0.148018,-0.206206,-0.067250,-9.807602
1786120246.522396,-0.011729,-0.007091,0.016707,-0.101118,-0.109242,0.007205,0.001587,0.000321,-0.002769,-0.245721,-0.027533,-0.149500,-0.191874,-0.060277,-9.807938
1786120246.526182,0.018956,0.011920,-0.034109,0.013328,0.523165,0.043550,0.000276,-0.000377,-0.000937,0.174029,-0.054116,-0.035519,-0.199330,-0.078202,-9.807663
1786120246.535014,-0.006336,0.000179,0.019409,0.001040,-0.192140,0.006488,0.000276,-0.000377,-0.000937,0.174029,-0.054116,-0.035519,-0.193378,-0.062655,-9.807894
1786120246.545081,0.005614,0.005172,-0.011891,-0.005511,0.210149,0.012241,-0.000287,-0.000323,0.000803,-0.142775,0.070561,-0.055428,-0.200350,-0.082192,-9.807610
1786120246.553561,-0.015200,-0.016474,0.019009,-0.128921,-0.194712,-0.005528,0.000351,0.000277,-0.000561,0.005121,0.017380,-0.050328,-0.184506,-0.070979,-9.808008
1786120246.564566,0.005582,0.008561,-0.001617,0.090668,-0.034205,-0.007265,-0.000856,-0.001023,0.000955,-0.143869,0.163663,-0.053017,-0.192306,-0.063993,-9.807906
1786120246.570789,-0.009576,-0.004372,0.010260,-0.151374,0.115328,0.039090,-0.000065,0.000158,0.000651,-0.152314,0.035973,-0.050130,-0.186192,-0.073898,-9.807955
1786120246.577833,-0.000554,-0.008946,-0.007863,-0.003906,-0.049208,-0.027571,-0.000463,-0.000027,0.001055,0.025876,0.092144,-0.007482,-0.184748,-0.070827,-9.808004
1786120246.585964,0.024804,0.020668,-0.028406,0.254144,0.116668,-0.022292,-0.000472,-0.000523,0.000566,-0.046758,0.060440,-0.034838,-0.207044,-0.072157,-9.807549
1786120246.595468,-0.012984,-0.014503,0.014573,-0.091623,-0.192227,-0.013286,0.001405,0.001045,-0.001589,-0.032828,-0.154283,-0.035557,-0.192621,-0.058549,-9.807934
1786120246.604762,-0.008693,-0.003239,0.008337,-0.121340,0.088349,0.029846,-0.000002,-0.000480,-0.000004,-0.137317,0.060070,-0.037012,-0.185173,-0.070062,-9.808002
1786120246.611483,0.011996,0.004581,-0.008537,0.173382,-0.130256,-0.037748,-0.000830,-0.000752,0.000793,0.017858,0.088843,-0.003647,-0.192765,-0.057914,-9.807935
1786120246.619819,-0.008952,-0.003923,0.010347,-0.139410,0.105828,0.032544,-0.000181,-0.000484,0.000323,-0.127799,-0.037630,-0.029767,-0.185219,-0.070107,-9.808001
1786120246.627120,0.027921,0.015841,-0.037717,0.293125,0.075301,-0.054454,-0.000859,-0.000749,0.001101,0.041987,0.055073,0.003412,-0.206820,-0.067521,-9.807587
1786120246.636531,-0.014052,-0.008592,0.019264,-0.103886,-0.146306,0.011822,0.000904,0.000266,-0.001273,-0.016770,-0.176399,-0.033423,-0.192972,-0.058411,-9.807928
1786120246.644422,-0.001228,0.007051,0.007170,-0.031175,0.071882,0.032059,-0.000560,-0.000600,0.000740,-0.082185,0.043757,-0.011219,-0.192685,-0.064473,-9.807896
1786120246.653635,-0.005677,-0.004061,0.007235,-0.108870,0.077222,0.026751,-0.000618,-0.000065,0.001211,0.017187,0.025043,0.014756,-0.185990,-0.074538,-9.807954
1786120246.660509,0.009160,0.003685,-0.012128,0.170577,-0.124774,-0.045444,-0.001098,-0.000436,0.001786,0.077958,0.065848,0.019867,-0.193726,-0.062528,-9.807888
1786120246.668503,-0.010508,-0.009792,0.003838,-0.133884,0.047383,0.010621,-0.000542,-0.000217,0.001033,-0.093866,-0.048782,-0.022438,-0.185270,-0.069792,-9.808002
1786120246.677402,0.008772,0.003348,-0.007086,0.115042,-0.081554,-0.027925,-0.001271,-0.000919,0.001231,0.024055,0.057958,-0.004964,-0.192099,-0.059517,-9.807938
1786120246.687692,-0.007243,-0.002664,0.007968,-0.099752,0.072710,0.028431,-0.000372,-0.000543,0.000483,-0.074245,-0.028566,-0.020791,-0.185314,-0.070003,-9.808000
1786120246.698308,0.006777,0.002103,-0.007471,0.095091,-0.067752,-0.029550,-0.001158,-0.000784,0.001342,0.043293,0.039152,0.009725,-0.192048,-0.059837,-9.807937
1786120246.701738,0.019740,0.013514,-0.036915,0.000645,0.599715,0.047454,-0.000225,-0.000446,0.000307,-0.053923,-0.028743,-0.016546,-0.199337,-0.078639,-9.807659
1786120246.712454,0.007195,0.007966,-0.003065,0.107167,-0.045543,-0.006813,0.000049,-0.000255,-0.000201,0.341337,-0.150168,0.028291,-0.208116,-0.070098,-9.807542
1786120246.719621,-0.019770,-0.018690,0.020498,-0.148332,-0.230428,-0.013376,0.000938,0.000764,-0.000569,0.063490,-0.110085,0.006180,-0.192552,-0.058777,-9.807934
1786120246.731233,0.000663,0.000543,0.000710,0.001962,-0.004721,-0.001166,-0.000243,-0.000344,0.000638,-0.093237,0.111037,-0.011685,-0.192568,-0.058194,-9.807937
1786120246.733782,-0.002120,-0.001137,0.007201,-0.016980,0.020485,0.011901,-0.000133,-0.000235,0.000665,-0.047999,0.044458,-0.006478,-0.192352,-0.058826,-9.807938
1786120246.744186,0.012852,0.007478,-0.018488,0.102194,0.125967,-0.010572,-0.000148,-0.000242,0.000714,-0.003307,0.022599,0.004815,-0.206750,-0.067026,-9.807592
1786120246.752628,-0.015205,-0.002804,0.027842,-0.130814,-0.106075,0.038909,0.001369,0.000659,-0.001523,0.046825,-0.086471,-0.003783,-0.193410,-0.062765,-9.807892
1786120246.760832,0.004205,-0.012868,-0.008151,-0.004793,-0.035471,-0.067795,0.000091,0.000396,0.000750,-0.021645,0.078686,0.021424,-0.192128,-0.060238,-9.807933
1786120246.769508,-0.005675,0.006477,0.000138,-0.008770,-0.004846,0.040432,0.000385,-0.000589,0.000110,-0.034220,0.040978,-0.038896,-0.191213,-0.060128,-9.807952
1786120246.777842,-0.006538,0.004415,0.013866,-0.113432,0.134641,0.053014,-0.000114,-0.000014,0.000107,-0.016353,0.023185,0.012309,-0.186462,-0.073743,-9.807951
1786120246.787937,0.005276,-0.002431,-0.010779,0.102180,-0.114042,-0.044628,-0.000612,0.000331,0.001163,0.105366,0.048389,0.039339,-0.191892,-0.059547,-9.807942
1786120246.800159,0.012182,0.005859,-0.016917,0.098835,0.096891,-0.012830,0.000026,0.000032,-0.000127,-0.063798,-0.020722,-0.015716,-0.207172,-0.066077,-9.807590
1786120246.801512,-0.050584,0.017996,0.089952,-0.852634,0.932693,0.336087,0.001837,0.000894,-0.002633,0.012175,-0.099330,-0.013151,-0.201003,-0.081716,-9.807600
1786120246.810540,0.014515,-0.012214,-0.007201,0.094086,-0.071672,-0.104068,0.001728,0.000927,-0.002438,0.759491,0.260700,0.200763,-0.206669,-0.072773,-9.807553
1786120246.820881,-0.018413,-0.000191,0.014728,-0.078690,-0.179818,0.059674,0.002843,-0.000222,-0.002845,0.205560,0.048072,0.003857,-0.192503,-0.058676,-9.807936
1786120246.828378,0.000150,0.007607,0.005509,0.005712,0.045960,0.023194,0.000471,-0.000228,-0.000872,-0.043041,0.104499,0.034100,-0.194082,-0.061676,-9.807886
1786120246.835404,-0.001165,-0.007103,-0.007255,-0.001710,-0.041312,-0.027651,0.000436,0.000249,-0.000471,-0.004665,0.017822,0.024938,-0.192980,-0.059063,-9.807924
1786120246.843453,-0.002511,0.000915,0.000136,-0.018099,0.001746,0.009022,0.000348,-0.000151,-0.000840,-0.041022,0.011412,-0.012562,-0.191684,-0.059710,-9.807945
1786120246.854024,-0.005136,-0.003882,0.006390,-0.093177,0.072308,0.022455,0.000139,-0.000078,-0.000773,-0.023013,0.009525,-0.002163,-0.185346,-0.070197,-9.807998
1786120246.863819,0.013881,0.013619,-0.014686,0.103844,0.173037,0.008969,-0.000495,-0.000534,0.000086,0.049082,0.040011,0.010476,-0.200637,-0.082081,-9.807605
1786120246.869834,-0.023184,-0.014528,0.036908,-0.205733,-0.191497,0.020196,0.000954,0.000894,-0.001400,0.094764,-0.100585,0.011074,-0.185212,-0.075940,-9.807957
1786120246.878332,0.008633,-0.015022,0.000012,-0.043234,0.031321,-0.090347,-0.000006,0.000283,0.000135,-0.038607,0.132749,0.011262,-0.182953,-0.079685,-9.807970
1786120246.887478,0.012712,0.021300,-0.034857,0.283052,-0.027565,0.017770,0.000670,-0.000946,0.000145,0.008605,0.062979,-0.058893,-0.205685,-0.068181,-9.807606
1786120246.895090,0.002026,0.006747,0.005137,0.011240,0.044487,0.022511,0.001779,0.001079,-0.003062,-0.089299,-0.155278,-0.005854,-0.207632,-0.070974,-9.807546
