timestamp,gravity_x,gravity_y,gravity_z,qw,qx,qy,qz
1785874572.847887,1.096819,0.379986,-9.741083,-0.523216,-0.037524,-0.045875,0.850137
1785874572.855699,1.096857,0.380066,-9.741076,-0.523218,-0.037523,-0.045880,0.850135
1785874572.863128,1.096496,0.380684,-9.741092,-0.523215,-0.037491,-0.045897,0.850138
1785874572.870105,1.096675,0.380213,-9.741090,-0.523213,-0.037512,-0.045881,0.850139
1785874572.880287,1.096830,0.380051,-9.741079,-0.523207,-0.037523,-0.045878,0.850142
1785874572.887820,1.096803,0.379962,-9.741086,-0.523226,-0.037523,-0.045874,0.850131
1785874572.897323,1.096745,0.379846,-9.741097,-0.523219,-0.037524,-0.045867,0.850135
1785874572.905396,1.097584,0.380164,-9.740990,-0.523228,-0.037552,-0.045904,0.850127
1785874572.913985,1.097255,0.379370,-9.741058,-0.523217,-0.037559,-0.045860,0.850136
1785874572.921974,1.096893,0.379500,-9.741094,-0.523225,-0.037540,-0.045857,0.850132
1785874572.931706,1.096448,0.380442,-9.741107,-0.523229,-0.037495,-0.045886,0.850129
1785874572.940821,1.097255,0.379850,-9.741039,-0.523225,-0.037546,-0.045882,0.850130
1785874572.947397,1.096979,0.380150,-9.741059,-0.523222,-0.037526,-0.045887,0.850132
1785874572.955098,1.096888,0.380090,-9.741071,-0.523230,-0.037523,-0.045882,0.850128
1785874572.964781,1.096746,0.380836,-9.741058,-0.523224,-0.037497,-0.045911,0.850131
1785874572.973435,1.096937,0.379756,-9.741079,-0.523222,-0.037535,-0.045869,0.850133
1785874572.981760,1.096845,0.379579,-9.741096,-0.523225,-0.037535,-0.045859,0.850131
1785874572.989994,1.096921,0.379397,-9.741095,-0.523224,-0.037544,-0.045853,0.850132
1785874572.999194,1.097576,0.379406,-9.741020,-0.523210,-0.037573,-0.045870,0.850139
1785874573.006442,1.096684,0.379690,-9.741110,-0.523216,-0.037526,-0.045859,0.850137
1785874573.015042,1.096620,0.380625,-9.741080,-0.523226,-0.037498,-0.045898,0.850131
1785874573.024091,1.096685,0.380055,-9.741095,-0.523220,-0.037516,-0.045875,0.850135
1785874573.031047,1.096909,0.379922,-9.741075,-0.523228,-0.037529,-0.045876,0.850129
1785874573.039139,1.097130,0.378636,-9.741101,-0.523214,-0.037574,-0.045825,0.850139
1785874573.048547,1.096922,0.379401,-9.741094,-0.523223,-0.037544,-0.045853,0.850133
1785874573.056357,1.097098,0.379699,-9.741063,-0.523215,-0.037544,-0.045870,0.850137
1785874573.065757,1.096602,0.379276,-9.741135,-0.523214,-0.037533,-0.045839,0.850140
1785874573.076093,1.096629,0.380419,-9.741088,-0.523228,-0.037503,-0.045890,0.850129
1785874573.080755,1.096264,0.380471,-9.741127,-0.523211,-0.037487,-0.045881,0.850141
1785874573.089415,1.095675,0.374731,-9.741415,-0.523157,-0.037618,-0.045613,0.850183
1785874573.097735,1.096329,0.379617,-9.741153,-0.523227,-0.037512,-0.045847,0.850132
1785874573.106694,1.096828,0.379594,-9.741097,-0.523221,-0.037534,-0.045859,0.850134
1785874573.114225,1.096524,0.379082,-9.741152,-0.523207,-0.037536,-0.045828,0.850145
1785874573.123061,1.097198,0.379596,-9.741056,-0.523225,-0.037550,-0.045869,0.850130
1785874573.131365,1.097053,0.380095,-9.741052,-0.523221,-0.037531,-0.045887,0.850133
1785874573.140242,1.096146,0.381382,-9.741104,-0.523232,-0.037456,-0.045919,0.850128
1785874573.149322,1.095484,0.374774,-9.741435,-0.523158,-0.037608,-0.045610,0.850183
1785874573.156739,1.096465,0.379558,-9.741140,-0.523218,-0.037520,-0.045847,0.850137
1785874573.165281,1.096754,0.379887,-9.741094,-0.523220,-0.037523,-0.045869,0.850135
1785874573.173509,1.096597,0.380389,-9.741092,-0.523230,-0.037503,-0.045888,0.850128
1785874573.180687,1.096959,0.379527,-9.741085,-0.523216,-0.037542,-0.045859,0.850137
1785874573.189032,1.097064,0.380023,-9.741054,-0.523221,-0.037533,-0.045884,0.850133
1785874573.197526,1.096445,0.380020,-9.741124,-0.523226,-0.037506,-0.045867,0.850132
1785874573.209049,1.096182,0.380123,-9.741149,-0.523227,-0.037492,-0.045865,0.850132
1785874573.212318,1.096543,0.380561,-9.741092,-0.523223,-0.037496,-0.045893,0.850133
1785874573.223680,1.096536,0.379400,-9.741138,-0.523220,-0.037527,-0.045842,0.850136
1785874573.231311,1.095799,0.374471,-9.741411,-0.523167,-0.037630,-0.045606,0.850177
1785874573.240540,1.096690,0.380467,-9.741079,-0.523216,-0.037505,-0.045893,0.850137
1785874573.248613,1.097619,0.379980,-9.740993,-0.523232,-0.037558,-0.045897,0.850124
1785874573.258096,1.096798,0.379814,-9.741092,-0.523226,-0.037527,-0.045868,0.850131
1785874573.264294,1.096651,0.379567,-9.741118,-0.523221,-0.037527,-0.045853,0.850135
1785874573.272663,1.096671,0.379830,-9.741106,-0.523220,-0.037521,-0.045865,0.850135
1785874573.280750,1.096499,0.379349,-9.741144,-0.523222,-0.037527,-0.045839,0.850135
1785874573.289500,1.096513,0.379883,-9.741121,-0.523223,-0.037513,-0.045863,0.850134
1785874573.299227,1.097141,0.379625,-9.741061,-0.523219,-0.037547,-0.045868,0.850134
1785874573.306678,1.096909,0.379426,-9.741095,-0.523220,-0.037542,-0.045854,0.850135
1785874573.317645,1.096687,0.379304,-9.741125,-0.523230,-0.037536,-0.045843,0.850129
1785874573.322030,1.097399,0.379793,-9.741025,-0.523226,-0.037554,-0.045883,0.850129
1785874573.330090,1.096746,0.379336,-9.741117,-0.523206,-0.037539,-0.045845,0.850144
1785874573.338568,1.096154,0.380500,-9.741138,-0.523235,-0.037480,-0.045881,0.850127
1785874573.348333,1.096157,0.380556,-9.741135,-0.523231,-0.037479,-0.045883,0.850129
1785874573.355531,1.096733,0.380216,-9.741084,-0.523221,-0.037514,-0.045883,0.850133
1785874573.366743,1.096511,0.380391,-9.741102,-0.523223,-0.037499,-0.045885,0.850133
1785874573.369844,1.097114,0.378709,-9.741100,-0.523224,-0.037570,-0.045828,0.850132
1785874573.383577,1.097673,0.378791,-9.741033,-0.523219,-0.037593,-0.045847,0.850133
1785874573.390731,1.097012,0.379874,-9.741066,-0.523228,-0.037535,-0.045876,0.850129
1785874573.398269,1.096274,0.380127,-9.741139,-0.523218,-0.037496,-0.045867,0.850137
1785874573.405759,1.096328,0.380338,-9.741125,-0.523230,-0.037492,-0.045878,0.850129
1785874573.413925,1.096535,0.380403,-9.741099,-0.523229,-0.037500,-0.045886,0.850129
1785874573.423272,1.096582,0.380044,-9.741107,-0.523228,-0.037511,-0.045872,0.850130
1785874573.431139,1.096776,0.379444,-9.741109,-0.523226,-0.037536,-0.045851,0.850131
1785874573.437891,1.096484,0.380548,-9.741099,-0.523231,-0.037493,-0.045891,0.850128
1785874573.449329,1.096170,0.380889,-9.741121,-0.523230,-0.037471,-0.045898,0.850129
1785874573.456751,1.096488,0.379783,-9.741128,-0.523224,-0.037514,-0.045858,0.850133
1785874573.465748,1.096771,0.380246,-9.741078,-0.523229,-0.037514,-0.045886,0.850128
1785874573.473743,1.096644,0.379847,-9.741108,-0.523217,-0.037520,-0.045865,0.850137
1785874573.481241,1.096175,0.379695,-9.741167,-0.523231,-0.037503,-0.045846,0.850130
1785874573.490751,1.097096,0.379563,-9.741068,-0.523229,-0.037546,-0.045865,0.850128
1785874573.498930,1.096670,0.380422,-9.741083,-0.523230,-0.037505,-0.045891,0.850128
1785874573.506457,1.095960,0.381086,-9.741137,-0.523228,-0.037456,-0.045901,0.850131
1785874573.514746,1.096280,0.380416,-9.741127,-0.523228,-0.037488,-0.045880,0.850131
1785874573.524745,1.096766,0.380580,-9.741066,-0.523234,-0.037505,-0.045901,0.850125
1785874573.532799,1.096355,0.380276,-9.741124,-0.523233,-0.037495,-0.045876,0.850128
1785874573.540309,1.096519,0.380080,-9.741113,-0.523227,-0.037508,-0.045872,0.850131
1785874573.549238,1.096645,0.380239,-9.741093,-0.523226,-0.037509,-0.045882,0.850131
1785874573.557152,1.097404,0.380075,-9.741014,-0.523235,-0.037546,-0.045896,0.850123
1785874573.563622,1.097002,0.379275,-9.741090,-0.523214,-0.037551,-0.045849,0.850138
1785874573.571766,1.096707,0.380334,-9.741082,-0.523211,-0.037510,-0.045887,0.850140
1785874573.581733,1.096694,0.380422,-9.741080,-0.523224,-0.037506,-0.045891,0.850132
1785874573.589604,1.096349,0.380418,-9.741119,-0.523220,-0.037492,-0.045882,0.850135
1785874573.598823,1.097060,0.379730,-9.741066,-0.523221,-0.037541,-0.045871,0.850133
1785874573.605865,1.096648,0.380051,-9.741100,-0.523222,-0.037514,-0.045874,0.850133
1785874573.615176,1.096454,0.380227,-9.741115,-0.523219,-0.037501,-0.045876,0.850136
1785874573.620299,1.096107,0.381536,-9.741103,-0.523226,-0.037451,-0.045924,0.850131
1785874573.633228,1.097024,0.381090,-9.741017,-0.523240,-0.037502,-0.045930,0.850120
1785874573.640309,1.096792,0.380477,-9.741067,-0.523223,-0.037509,-0.045896,0.850132
1785874573.652117,1.096732,0.379824,-9.741099,-0.523216,-0.037524,-0.045866,0.850137
1785874573.659117,1.097303,0.379095,-9.741063,-0.523217,-0.037569,-0.045850,0.850135
1785874573.664033,1.096827,0.379923,-9.741085,-0.523221,-0.037526,-0.045873,0.850134
1785874573.672066,1.096120,0.380601,-9.741138,-0.523220,-0.037477,-0.045883,0.850136
1785874573.681127,1.096368,0.380425,-9.741117,-0.523221,-0.037492,-0.045883,0.850134
1785874573.689359,1.096640,0.380123,-9.741098,-0.523226,-0.037512,-0.045877,0.850131
1785874573.696774,1.097011,0.379937,-9.741063,-0.523216,-0.037533,-0.045878,0.850136
1785874573.706969,1.097450,0.378962,-9.741052,-0.523220,-0.037578,-0.045848,0.850133
1785874573.715030,1.097075,0.380080,-9.741051,-0.523226,-0.037532,-0.045887,0.850130
1785874573.724749,1.096123,0.380752,-9.741131,-0.523220,-0.037473,-0.045890,0.850136
1785874573.732764,1.096283,0.380527,-9.741122,-0.523212,-0.037486,-0.045884,0.850140
1785874573.739764,1.096437,0.380357,-9.741112,-0.523213,-0.037497,-0.045881,0.850139
1785874573.748759,1.096627,0.379587,-9.741120,-0.523217,-0.037526,-0.045853,0.850138
1785874573.754787,1.096720,0.379822,-9.741101,-0.523227,-0.037523,-0.045866,0.850130
1785874573.764186,1.097379,0.379369,-9.741044,-0.523219,-0.037565,-0.045864,0.850134
1785874573.772949,1.097330,0.379556,-9.741042,-0.523227,-0.037557,-0.045871,0.850129
1785874573.781539,1.096651,0.379742,-9.741111,-0.523216,-0.037523,-0.045860,0.850138
1785874573.789994,1.096825,0.379514,-9.741101,-0.523202,-0.037537,-0.045854,0.850146
1785874573.798736,1.096662,0.379522,-9.741119,-0.523209,-0.037530,-0.045851,0.850142
1785874573.806459,1.096370,0.380497,-9.741114,-0.523224,-0.037490,-0.045886,0.850133
1785874573.815332,1.096216,0.379987,-9.741151,-0.523210,-0.037498,-0.045859,0.850143
1785874573.824136,1.097345,0.380157,-9.741017,-0.523223,-0.037542,-0.045897,0.850131
1785874573.831708,1.096763,0.380258,-9.741079,-0.523221,-0.037514,-0.045886,0.850134
1785874573.840138,1.096528,0.379075,-9.741151,-0.523217,-0.037535,-0.045828,0.850138
1785874573.848957,1.096048,0.380369,-9.741155,-0.523218,-0.037480,-0.045871,0.850138
1785874573.857228,1.095938,0.374168,-9.741407,-0.523143,-0.037645,-0.045595,0.850191
1785874573.864144,1.095961,0.381109,-9.741136,-0.523228,-0.037456,-0.045902,0.850131
1785874573.870322,1.096654,0.380844,-9.741068,-0.523223,-0.037493,-0.045909,0.850132
1785874573.881630,1.097128,0.378749,-9.741096,-0.523219,-0.037570,-0.045830,0.850135
1785874573.886846,1.096924,0.379150,-9.741104,-0.523220,-0.037551,-0.045842,0.850135
1785874573.900404,1.096412,0.380468,-9.741110,-0.523217,-0.037493,-0.045885,0.850137
1785874573.907738,1.096160,0.380646,-9.741131,-0.523216,-0.037477,-0.045886,0.850138
1785874573.917220,1.096110,0.380129,-9.741157,-0.523217,-0.037489,-0.045863,0.850139
1785874573.923378,1.096162,0.379975,-9.741157,-0.523210,-0.037496,-0.045857,0.850143
1785874573.931549,1.096766,0.379412,-9.741111,-0.523207,-0.037537,-0.045849,0.850143
1785874573.940658,1.097041,0.379260,-9.741086,-0.523206,-0.037553,-0.045849,0.850143
1785874573.949564,1.096910,0.379353,-9.741097,-0.523202,-0.037546,-0.045850,0.850146
1785874573.957355,1.096914,0.380317,-9.741059,-0.523220,-0.037519,-0.045893,0.850134
1785874573.964890,1.096266,0.381019,-9.741105,-0.523216,-0.037472,-0.045905,0.850137
1785874573.973243,1.096526,0.380037,-9.741114,-0.523214,-0.037510,-0.045870,0.850139
1785874573.982486,1.097220,0.378349,-9.741102,-0.523207,-0.037586,-0.045815,0.850143
1785874573.988463,1.096825,0.379558,-9.741099,-0.523208,-0.037536,-0.045857,0.850142
1785874573.997737,1.096661,0.379840,-9.741106,-0.523215,-0.037521,-0.045865,0.850138
1785874574.005265,1.096172,0.380734,-9.741127,-0.523216,-0.037476,-0.045890,0.850138
1785874574.013458,1.096123,0.380608,-9.741137,-0.523215,-0.037477,-0.045884,0.850139
1785874574.023712,1.097010,0.379912,-9.741064,-0.523212,-0.037534,-0.045877,0.850139
1785874574.030723,1.096535,0.379493,-9.741134,-0.523202,-0.037525,-0.045846,0.850147
1785874574.038232,1.096968,0.379103,-9.741101,-0.523220,-0.037554,-0.045841,0.850135
1785874574.047190,1.096700,0.380289,-9.741085,-0.523213,-0.037511,-0.045885,0.850138
1785874574.055150,1.096403,0.380603,-9.741106,-0.523212,-0.037489,-0.045891,0.850140
1785874574.063429,1.096616,0.380148,-9.741100,-0.523217,-0.037511,-0.045877,0.850136
1785874574.076075,1.097057,0.379959,-9.741057,-0.523215,-0.037535,-0.045881,0.850137
1785874574.083080,1.096644,0.379788,-9.741110,-0.523220,-0.037521,-0.045862,0.850135
1785874574.089698,1.096699,0.379571,-9.741113,-0.523219,-0.037530,-0.045854,0.850136
1785874574.105240,1.096354,0.380127,-9.741130,-0.523219,-0.037500,-0.045869,0.850136
1785874574.105352,1.096541,0.380498,-9.741094,-0.523235,-0.037497,-0.045891,0.850126
1785874574.114762,1.096800,0.379398,-9.741108,-0.523216,-0.037539,-0.045849,0.850138
1785874574.120798,1.097032,0.379563,-9.741076,-0.523212,-0.037545,-0.045863,0.850139
1785874574.130714,1.096631,0.380206,-9.741096,-0.523214,-0.037510,-0.045880,0.850138
1785874574.139354,1.096511,0.380416,-9.741101,-0.523226,-0.037498,-0.045886,0.850131
1785874574.147777,1.096487,0.380251,-9.741110,-0.523223,-0.037502,-0.045878,0.850133
1785874574.159187,1.096561,0.380043,-9.741110,-0.523223,-0.037511,-0.045871,0.850133
